K,p,rho_0.2,rho_0.5,allwrong_0.2,allwrong_0.5
2,0.7,0.0,0.0,0.1153075,0.15648
3,0.7,0.0,0.0,0.0516475,0.100625
4,0.7,0.22409,0.1651175,0.0262,0.0716225
5,0.7,0.374875,0.2734225,0.0147025,0.0555825
6,0.7,0.4839225,0.353685,0.00844,0.04402
7,0.7,0.5634375,0.4136575,0.0053575,0.0366875
8,0.7,0.6249475,0.463075,0.0036425,0.0305225
9,0.7,0.6756975,0.5023875,0.002425,0.026905
10,0.7,0.7191025,0.5355075,0.001665,0.023225
11,0.7,0.7507475,0.5645775,0.001155,0.0206825
12,0.7,0.7801725,0.5894025,0.0008675,0.018595
13,0.7,0.8049,0.6088525,0.00065,0.01676
14,0.7,0.8245025,0.6292925,0.0004875,0.01525
15,0.7,0.8424125,0.646525,0.00041,0.0138975
16,0.7,0.857835,0.6619,0.00029,0.0128375
17,0.7,0.8701925,0.6750175,0.000235,0.011595
18,0.7,0.882325,0.6874075,0.000205,0.0106975
19,0.7,0.892375,0.69861,0.0001575,0.010165
20,0.7,0.901015,0.7080975,0.00012,0.009355
21,0.7,0.908955,0.7172675,0.000115,0.00907
22,0.7,0.9168375,0.726795,7.75e-05,0.0084675
23,0.7,0.92332,0.735675,6e-05,0.0080425
24,0.7,0.928555,0.743555,4.5e-05,0.0074475
25,0.7,0.93361,0.7507775,3.5e-05,0.007
26,0.7,0.9384725,0.7563675,4.75e-05,0.0067675
27,0.7,0.9422475,0.7626375,2.75e-05,0.0063725
28,0.7,0.9457425,0.76982,2.25e-05,0.00609
29,0.7,0.9496775,0.7763575,2.75e-05,0.005855
30,0.7,0.9522225,0.7808225,2e-05,0.0055125
